"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","208.18524712311927","208.0076275715796","0.0135498046875","1.9369106013095647e-7","0.014892578125","0.01220703125","2180","0.00033301469294428634","32","0.00033301469294428634","0","0.00033301469294428634","0.00033301469294428634","1:0.0008275350320094688","1:68","1:0.0010663110252551733","0.0135498046875","0.292236328125","Yes"
"1","124.31840101043211","141.00721622567974","0.014404296875","0.03701929702994996","0.014404296875","0.014404296875","2180","0.00022948217980323934","32","0.00022948217980323934","0","0.00022948217980323934","0.00022948217980323934","2:0.001039059966208844;0:0.0008275350320094688","2:68;0:68","2:0.0010484215720299728;0:0.0010663110252551733","0.014404296875","0.196533203125","Yes"
"2","279.67397246213886","123.42523746681783","0.014404296875","0.002186069909044492","0.01416015625","0.0146484375","2180","0.0002659701150563674","32","0.0002659701150563674","0","0.0002659701150563674","0.0002659701150563674","1:0.001039059966208844;3:0.001364561435531042","1:68;3:68","1:0.0010484215720299728;3:0.0013774839679356055","0.014404296875","0.012451171875","Yes"
"3","253.63105637388347","331.73252565647397","0.007080078125","0.0007346444823316149","0.0087890625","0.00537109375","2180","0.000489322487289764","32","0.000489322487289764","0","0.000489322487289764","0.000489322487289764","16:0.005969632879598147;2:0.001364561435531042;4:0.002879232836035861","16:68;2:68;4:68","2:0.0013774839679356055;4:0.003282996004819072","0.007080078125","0.004150390625","Yes"
"4","183.76352930135172","36.310490821943176","0.0118408203125","0.004123371536852747","0.0146484375","0.009033203125","2180","0.0004250270694051274","32","0.0004250270694051274","0","0.0004250270694051274","0.0004250270694051274","3:0.002879232836035861;5:0.004419924177975654","3:68;5:68","3:0.003282996004819072;5:0.003055042875080849","0.0118408203125","0.016357421875","Yes"
"5","193.0996724907622","49.67331934044034","0.008056640625","0.0009778620954166376","0.00830078125","0.0078125","2180","0.0005532985610863626","32","0.0005532985610863626","0","0.0005532985610863626","0.0005532985610863626","6:0.00951059207095828;4:0.004419924177975654","6:68;4:68","6:0.004664327206125557;4:0.003055042875080849","0.008056640625","0.0556640625","Yes"
"6","326.62717495658023","85.76353895147304","0.0091552734375","0.0026866424030851798","0.0107421875","0.007568359375","2180","0.00044946480420109374","32","0.00044946480420109374","0","0.00044946480420109374","0.00044946480420109374","5:0.00951059207095828;7:0.011838815329339142","5:68;7:80","5:0.004664327206125557;7:0.006688450931823797","0.0091552734375","0.009765625","Yes"
"7","56.08036443965874","29.94390836933266","0.0140380859375","","0.0126953125","0.015380859375","2180","0.00034811190276885334","32","0.00034811190276885334","0","0.00034811190276885334","0.00034811190276885334","17:0.006332522358437953;6:0.011838815329339142;8:0.007020684688979706","17:68;6:80;8:68","17:0.004418643360480173;6:0.006688450931823797;8:0.004114790756437503","0.0140380859375","0.01318359375","Yes"
"8","292.01112764870055","92.19925325718077","0.003662109375","0.0012438652374969815","0.006103515625","0.001220703125","2180","0.0003752319180299956","32","0.0003752319180299956","0","0.0003752319180299956","0.0003752319180299956","9:0.002623885115441038;7:0.007020684688979706","9:68;7:68","9:0.002162060040286934;7:0.004114790756437503","0.003662109375","0.01806640625","Yes"
"9","121.0204477333487","42.3142252772001","0.005126953125","0.004402409317936195","0.00732421875","0.0029296875","2180","0.000218817123064209","32","0.000218817123064209","0","0.000218817123064209","0.000218817123064209","8:0.002623885115441038;10:0.005642274833039251","8:68;10:68","8:0.002162060040286934;10:0.004194249539053452","0.005126953125","0.0390625","Yes"
