WorkloadId,Status,Instance,Region,Mode,Created,Completed,QPU,Usage (seconds),User,Tags,Account
da6pf9usidac73aef6hg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T13:24:55.479Z,2026-08-25T13:44:25.357Z,ibm_kingston,21,Eran Kopel,,REDACTED-ACCOUNT-3
da6pe3s6l22c73dml4p0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T13:22:23.273Z,2026-08-25T13:24:12.354Z,ibm_kingston,21,Eran Kopel,,REDACTED-ACCOUNT-3
da6p3cc6l22c73dmkpgg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T12:59:29.797Z,2026-08-25T13:21:40.404Z,ibm_kingston,41,Eran Kopel,,REDACTED-ACCOUNT-3
da6p1hbsq5js73bj17fg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T12:55:33.073Z,2026-08-25T12:58:50.228Z,ibm_kingston,21,Eran Kopel,,REDACTED-ACCOUNT-3
da6oo76sidac73aeebg0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T12:35:40.533Z,2026-08-25T12:54:59.945Z,ibm_kingston,41,Eran Kopel,,REDACTED-ACCOUNT-3
da6omt46l22c73dmk880,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T12:32:52.891Z,2026-08-25T12:35:01.570Z,ibm_kingston,21,Eran Kopel,,REDACTED-ACCOUNT-3
da6ol946l22c73dmk5ig,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T12:29:24.090Z,2026-08-25T12:32:19.595Z,ibm_kingston,41,Eran Kopel,,REDACTED-ACCOUNT-3
da6ok93sq5js73bj0kgg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T12:27:16.657Z,2026-08-25T12:28:59.793Z,ibm_kingston,21,Eran Kopel,,REDACTED-ACCOUNT-3
da6oc9bsq5js73bj0c2g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T12:10:13.125Z,2026-08-25T12:26:53.637Z,ibm_kingston,41,Eran Kopel,,REDACTED-ACCOUNT-3
da6o8hrsq5js73bj07r0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T12:02:15.842Z,2026-08-25T12:08:08.700Z,ibm_kingston,60,Eran Kopel,,REDACTED-ACCOUNT-3
da6o2mbsq5js73bivvcg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T11:49:45.476Z,2026-08-25T11:58:21.996Z,ibm_kingston,79,Eran Kopel,,REDACTED-ACCOUNT-3
da6nru46l22c73dmj580,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T11:35:20.637Z,2026-08-25T11:47:06.707Z,ibm_kingston,98,Eran Kopel,,REDACTED-ACCOUNT-3
da6nqeesidac73aed670,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/REDACTED-ACCOUNT-3:REDACTED-INSTANCE-3::,us-east,job,2026-08-25T11:32:09.959Z,2026-08-25T11:32:55.456Z,ibm_kingston,5,Eran Kopel,,REDACTED-ACCOUNT-3
